date,idx,exchange_rate_m2,interest_rate_m2,inflation_rate_m2,money_supply_m2
2016-03-01,4845.37,1.793512306532237,-0.040183094504057534,-0.7023470318208147,1.2170428149483572
2016-04-01,4838.58,1.68391441798137,-0.17169140379006195,-0.6188851033710202,1.2356254138743472
2016-05-01,4796.87,1.501067689343743,-0.3031997130760671,-0.6099427538942567,1.2670728235372917
2016-06-01,5016.65,1.4090935818663823,-0.3031997130760671,-0.8633093224025611,1.282831732233212
2016-07-01,5215.99,1.4046876365980059,-0.3031997130760671,-0.9437904676934341,1.3081841469384807
2016-08-01,5386.08,1.6684936095420522,-0.43470802236207223,-0.9080210697863793,1.4053822687525661
2016-09-01,5364.8,1.3936727734270644,-0.43470802236207223,-0.979559865600489,1.3998117633233362
2016-10-01,5422.54,1.343004402840734,-1.0922495687920977,-1.1047527582751806,1.4121374484208256
2016-11-01,5148.91,1.4470948598061302,-1.2237578780781024,-1.021290829825386,1.405523690766086
2016-12-01,5296.71,1.3044523817424392,-1.3552661873641074,-0.9497520340112767,1.437701180840944
2017-01-01,5294.1,1.318771703864663,-1.3552661873641074,-0.8692708887204035,1.5087330083187853
2017-02-01,5386.69,1.6194774684313629,-1.3552661873641074,-1.036194745619992,1.6161214397175732
2017-03-01,5568.11,1.566055382052297,-1.3552661873641074,-0.8960979371506945,1.5624808017948717
2017-04-01,5685.3,1.4911543124898956,-1.3552661873641074,-0.7947513097473727,1.5672369628296428
2017-05-01,5738.16,1.4977632303924606,-1.3552661873641074,-0.8603285392436398,1.6260994863057672
2017-06-01,5829.71,1.477385733526219,-1.3552661873641074,-0.693404682344051,1.6388109566029527
2017-07-01,5840.94,1.4729797882578424,-1.3552661873641074,-0.6457121518013114,1.711747203652267
2017-08-01,5864.06,1.470226072465107,-1.3552661873641074,-0.6337890191656264,1.7895719354139052
2017-09-01,5900.85,1.477936476684766,-1.3552661873641074,-0.7798473939527666,1.7524798629755896
2017-10-01,6005.78,1.4740812745749365,-1.4867744966501126,-0.7977320929062941,1.7843032584183667
2017-11-01,5952.14,1.4889513398557075,-1.6182828059361174,-0.8275399244955064,1.812065259090978
